x1,y1,z1,x2,y2,z2
-27,-3,-40,,,
-27,-2,40,,,
-27,-2,-40,,,
-27,-1,40,,,
-27,-1,-40,,,
-27,0,40,,,
-27,0,-40,,,
-27,1,40,,,
-27,1,-40,,,
-27,2,40,,,
-27,2,-40,,,
-27,3,40,,,
-27,3,-40,,,
-27,4,40,,,
-27,4,-40,,,
-27,5,40,,,
-27,5,-40,,,
-27,6,40,,,
-27,6,-40,,,
-27,7,40,,,
-27,7,-40,,,
-27,8,40,,,
-27,8,-40,,,
-27,9,40,,,
-27,9,-40,,,
-27,10,40,,,
-27,10,-40,,,
-27,11,40,,,
-27,11,-40,,,
-27,12,40,,,
-27,12,-40,,,
-27,13,40,,,
-27,13,-40,,,
-27,14,40,,,
-27,14,-40,,,
-27,15,40,,,
-27,15,-40,,,
-27,16,40,,,
-27,16,-40,,,
-27,17,40,,,
-27,17,-40,,,
-27,18,40,,,
-27,18,-40,,,
-27,19,40,,,
-27,19,-40,,,
-27,20,40,,,
-27,20,-40,,,
-27,21,40,,,
-27,21,-40,,,
-27,22,40,,,
-27,22,-40,,,
-27,23,40,,,
-27,23,-40,,,
-27,24,40,,,
-27,24,-40,,,
-27,25,40,,,
-27,25,-40,,,
-27,26,40,,,
-27,26,-40,,,
-27,27,40,,,
-27,27,-40,,,
-27,28,40,,,
-27,28,-40,,,
-27,29,40,,,
-27,29,-40,,,
-26,-30,40,,,
-26,-30,-40,,,
-26,-29,40,,,
-26,-29,-40,,,
-26,-28,40,,,
-26,-28,-40,,,
-26,-27,40,,,
-26,-27,-40,,,
-26,-26,40,,,
-26,-26,-40,,,
-26,-25,40,,,
-26,-25,-40,,,
-26,-24,40,,,
-26,-24,-40,,,
-26,-23,40,,,
-26,-23,-40,,,
-26,-22,40,,,
-26,-22,-40,,,
-26,-21,40,,,
-26,-21,-40,,,
-26,-20,40,,,
-26,-20,-40,,,
-26,-19,40,,,
-26,-19,-40,,,
-26,-18,40,,,
-26,-18,-40,,,
-26,-17,40,,,
-26,-17,-40,,,
-26,-16,40,,,
-26,-16,-40,,,
-26,-15,40,,,
-26,-15,-40,,,
-26,-14,40,,,
-26,-14,-40,,,
-26,-13,40,,,
-26,-13,-40,,,
-26,-12,40,,,
-26,-12,-40,,,
-26,-11,40,,,
-26,-11,-40,,,
-26,-10,40,,,
-26,-10,-40,,,
-26,-9,40,,,
-26,-9,-40,,,
-26,-8,40,,,
-26,-8,-40,,,
-26,-7,40,,,
-26,-7,-40,,,
-26,-6,40,,,
-26,-6,-40,,,
-26,-5,40,,,
-26,-5,-40,,,
-26,-4,40,,,
-26,-4,-40,,,
-26,-3,40,,,
-26,-3,-40,,,
-26,-2,40,,,
-26,-2,-40,,,
-26,-1,40,,,
-26,-1,-40,,,
-26,0,40,,,
-26,0,-40,,,
-26,1,40,,,
-26,1,-40,,,
-26,2,40,,,
-26,2,-40,,,
-26,3,40,,,
-26,3,-40,,,
-26,4,40,,,
-26,4,-40,,,
-26,5,40,,,
-26,5,-40,,,
-26,6,40,,,
-26,6,-40,,,
-26,7,40,,,
-26,7,-40,,,
-26,8,40,,,
-26,8,-40,,,
-26,9,40,,,
-26,9,-40,,,
-26,10,40,,,
-26,10,-40,,,
-26,11,40,,,
-26,11,-40,,,
-26,12,40,,,
-26,12,-40,,,
-26,13,40,,,
-26,13,-40,,,
-26,14,40,,,
-26,14,-40,,,
-26,15,40,,,
-26,15,-40,,,
-26,16,40,,,
-26,16,-40,,,
-26,17,40,,,
-26,17,-40,,,
-26,18,40,,,
-26,18,-40,,,
-26,19,40,,,
-26,19,-40,,,
-26,20,40,,,
-26,20,-40,,,
-26,21,40,,,
-26,21,-40,,,
-26,22,40,,,
-26,22,-40,,,
-26,23,40,,,
-26,23,-40,,,
-26,24,40,,,
-26,24,-40,,,
-26,25,40,,,
-26,25,-40,,,
-26,26,40,,,
-26,26,-40,,,
-26,27,40,,,
-26,27,-40,,,
-26,28,40,,,
-26,28,-40,,,
-26,29,40,,,
-26,29,-40,,,
-26,30,40,,,
-26,30,-40,,,
-25,-31,40,,,
-25,-31,-40,,,
-25,-30,40,,,
-25,-30,-40,,,
-25,-29,40,,,
-25,-29,-40,,,
-25,-28,40,,,
-25,-28,-40,,,
-25,-27,40,,,
-25,-27,-40,,,
-25,-26,40,,,
-25,-26,-40,,,
-25,-25,40,,,
-25,-25,-40,,,
-25,-24,40,,,
-25,-24,-40,,,
-25,-23,40,,,
-25,-23,-40,,,
-25,-22,40,,,
-25,-22,-40,,,
-25,-21,40,,,
-25,-21,-40,,,
-25,-20,40,,,
-25,-20,-40,,,
-25,-19,40,,,
-25,-19,-40,,,
